year,month,mean
2010,1,0.4466666666666666
2010,2,0.0
2010,3,1.1896551724137931
2010,11,3.2206896551724147
2010,12,0.26333333333333336
2011,1,0.5166666666666667
2011,2,0.6888888888888888
2011,3,2.4096774193548383
2011,11,4.25
2011,12,2.793103448275862
2012,1,1.506896551724138
2012,2,0.4724137931034483
2012,3,1.32
2012,11,0.5241379310344827
2012,12,2.048275862068966
2013,1,2.9064516129032256
2013,2,1.0703703703703704
2013,3,0.8838709677419354
2013,11,1.2206896551724138
2013,12,1.3299999999999998
2014,1,0.6838709677419355
2014,2,0.39999999999999997
2014,3,0.45
2014,11,1.8700000000000003
2014,12,1.080769230769231
2015,1,0.8758620689655173
2015,2,0.05555555555555555
2015,3,0.3
2015,11,1.624137931034483
2015,12,2.0300000000000002
2016,1,1.0419354838709676
2016,2,1.4275862068965517
2016,3,4.928571428571429
2016,11,1.846428571428571
2016,12,1.2551724137931033
2017,1,2.0800000000000005
2017,2,3.111111111111111
2017,3,1.8870967741935485
