date,year,month,day,totalPrecipMM,totalRainMM
2010-05-21,2010,5,21,0.0,0.0
2010-05-22,2010,5,22,9.9,0.0
2010-05-23,2010,5,23,0.0,0.0
2010-05-24,2010,5,24,0.0,0.0
2010-05-25,2010,5,25,0.0,0.0
2010-05-26,2010,5,26,0.0,0.0
2010-05-27,2010,5,27,0.0,0.0
2010-05-28,2010,5,28,1.2,0.0
2010-05-29,2010,5,29,0.0,0.0
2010-05-30,2010,5,30,0.0,0.0
2010-05-31,2010,5,31,29.0,0.0
2010-06-01,2010,6,1,13.8,0.0
2010-06-02,2010,6,2,6.8,0.0
2010-06-03,2010,6,3,16.5,0.0
2010-06-04,2010,6,4,21.2,0.0
2010-06-05,2010,6,5,7.4,0.0
2010-06-06,2010,6,6,22.4,0.0
2010-06-07,2010,6,7,0.0,0.0
2010-06-08,2010,6,8,0.0,0.0
2010-06-09,2010,6,9,6.1,0.0
2010-06-10,2010,6,10,0.0,0.0
2010-06-11,2010,6,11,0.0,0.0
2010-06-12,2010,6,12,0.0,0.0
2010-06-13,2010,6,13,0.0,0.0
2010-06-14,2010,6,14,0.0,0.0
2010-06-15,2010,6,15,0.0,0.0
2010-06-16,2010,6,16,14.9,0.0
2010-06-17,2010,6,17,0.0,0.0
2010-06-18,2010,6,18,0.0,0.0
2010-06-19,2010,6,19,0.0,0.0
2010-06-20,2010,6,20,0.0,0.0
2010-06-21,2010,6,21,0.0,0.0
2010-06-22,2010,6,22,11.2,0.0
2010-06-23,2010,6,23,1.5,0.0
2010-06-24,2010,6,24,0.0,0.0
2010-06-25,2010,6,25,0.0,0.0
2010-06-26,2010,6,26,0.0,0.0
2010-06-27,2010,6,27,10.9,0.0
2010-06-28,2010,6,28,0.0,0.0
2010-06-29,2010,6,29,0.0,0.0
2010-06-30,2010,6,30,0.0,0.0
2010-07-01,2010,7,1,0.0,0.0
2010-07-02,2010,7,2,0.0,0.0
2010-07-03,2010,7,3,0.0,0.0
2010-07-04,2010,7,4,0.0,0.0
2010-07-05,2010,7,5,0.0,0.0
2010-07-06,2010,7,6,0.0,0.0
2010-07-07,2010,7,7,31.8,0.0
2010-07-08,2010,7,8,0.0,0.0
2010-07-09,2010,7,9,8.4,0.0
2010-07-10,2010,7,10,0.0,0.0
2010-07-11,2010,7,11,0.0,0.0
2010-07-12,2010,7,12,12.0,0.0
2010-07-13,2010,7,13,0.0,0.0
2010-07-14,2010,7,14,0.0,0.0
2010-07-15,2010,7,15,18.2,0.0
2010-07-16,2010,7,16,0.0,0.0
2010-07-17,2010,7,17,0.0,0.0
2010-07-18,2010,7,18,7.6,0.0
2010-07-19,2010,7,19,0.0,0.0
2010-07-20,2010,7,20,0.0,0.0
2010-07-21,2010,7,21,4.5,0.0
2010-07-22,2010,7,22,3.7,0.0
2010-07-23,2010,7,23,5.0,0.0
2010-07-24,2010,7,24,10.2,0.0
2010-07-25,2010,7,25,0.0,0.0
2010-07-26,2010,7,26,0.0,0.0
2010-07-27,2010,7,27,0.0,0.0
2010-07-28,2010,7,28,7.4,0.0
2010-07-29,2010,7,29,0.0,0.0
2010-07-30,2010,7,30,0.0,0.0
2010-07-31,2010,7,31,1.1,0.0
2010-08-01,2010,8,1,0.0,0.0
2010-08-02,2010,8,2,0.0,0.0
2010-08-03,2010,8,3,0.0,0.0
2010-08-04,2010,8,4,1.9,0.0
2010-08-05,2010,8,5,0.0,0.0
2010-08-06,2010,8,6,0.0,0.0
2010-08-07,2010,8,7,0.0,0.0
2010-08-08,2010,8,8,0.0,0.0
2010-08-09,2010,8,9,0.8,0.0
2010-08-10,2010,8,10,0.0,0.0
2010-08-11,2010,8,11,0.0,0.0
2010-08-12,2010,8,12,0.0,0.0
2010-08-13,2010,8,13,0.0,0.0
2010-08-14,2010,8,14,0.0,0.0
2010-08-15,2010,8,15,0.0,0.0
2010-08-16,2010,8,16,0.0,0.0
2010-08-17,2010,8,17,0.0,0.0
2010-08-18,2010,8,18,0.0,0.0
2010-08-19,2010,8,19,0.0,0.0
2010-08-20,2010,8,20,0.0,0.0
2010-08-21,2010,8,21,34.7,0.0
2010-08-22,2010,8,22,2.1,0.0
2010-08-23,2010,8,23,0.0,0.0
2010-08-24,2010,8,24,0.0,0.0
2010-08-25,2010,8,25,0.0,0.0
2010-08-26,2010,8,26,0.0,0.0
2010-08-27,2010,8,27,0.0,0.0
2010-08-28,2010,8,28,0.0,0.0
2010-08-29,2010,8,29,0.0,0.0
2010-08-30,2010,8,30,0.0,0.0
2010-08-31,2010,8,31,0.0,0.0
2010-09-01,2010,9,1,0.0,0.0
2010-09-02,2010,9,2,9.2,0.0
2010-09-03,2010,9,3,35.8,0.0
2010-09-04,2010,9,4,0.8,0.0
2010-09-05,2010,9,5,0.6,0.0
2010-09-06,2010,9,6,0.0,0.0
2010-09-07,2010,9,7,0.0,0.0
2010-09-08,2010,9,8,0.8,0.0
2010-09-09,2010,9,9,0.7,0.0
2010-09-10,2010,9,10,0.0,0.0
2010-09-11,2010,9,11,5.5,0.0
2010-09-12,2010,9,12,0.0,0.0
2010-09-13,2010,9,13,0.0,0.0
2010-09-14,2010,9,14,0.0,0.0
2010-09-15,2010,9,15,0.0,0.0
2010-09-16,2010,9,16,19.7,0.0
2010-09-17,2010,9,17,0.0,0.0
2010-09-18,2010,9,18,0.0,0.0
2010-09-19,2010,9,19,0.0,0.0
2010-09-20,2010,9,20,0.6,0.0
2010-09-21,2010,9,21,0.0,0.0
2010-09-22,2010,9,22,6.0,0.0
2010-09-23,2010,9,23,0.0,0.0
2010-09-24,2010,9,24,0.0,0.0
2010-09-25,2010,9,25,2.0,0.0
2010-09-26,2010,9,26,0.0,0.0
2010-09-27,2010,9,27,1.5,0.0
2010-09-28,2010,9,28,24.6,0.0
2010-09-29,2010,9,29,0.6,0.0
2010-09-30,2010,9,30,0.0,0.0
2010-10-01,2010,10,1,0.0,0.0
2010-10-02,2010,10,2,11.4,0.0
2010-10-03,2010,10,3,2.3,0.0
2010-10-04,2010,10,4,0.6,0.0
2010-10-05,2010,10,5,6.8,0.0
2010-10-06,2010,10,6,0.8,0.0
2010-10-07,2010,10,7,0.7,0.0
2010-10-08,2010,10,8,0.0,0.0
2010-10-09,2010,10,9,0.0,0.0
2010-10-10,2010,10,10,0.0,0.0
2010-10-11,2010,10,11,8.4,0.0
2010-10-12,2010,10,12,0.0,0.0
2010-10-13,2010,10,13,5.7,0.0
2010-10-14,2010,10,14,19.2,0.0
2010-10-15,2010,10,15,0.0,0.0
2010-10-16,2010,10,16,0.0,0.0
2010-10-17,2010,10,17,0.0,0.0
2010-10-18,2010,10,18,0.0,0.0
2010-10-19,2010,10,19,0.0,0.0
2010-10-20,2010,10,20,9.5,0.0
2010-10-21,2010,10,21,8.5,0.0
2010-10-22,2010,10,22,1.3,0.0
2010-10-23,2010,10,23,0.8,0.0
2010-10-24,2010,10,24,0.8,0.0
2010-10-25,2010,10,25,0.0,0.0
2010-10-26,2010,10,26,7.5,0.0
2010-10-27,2010,10,27,0.6,0.0
2010-10-28,2010,10,28,0.0,0.0
2010-10-29,2010,10,29,3.0,0.0
2010-10-30,2010,10,30,0.0,0.0
2010-10-31,2010,10,31,0.0,0.0
2010-11-01,2010,11,1,0.0,0.0
2010-11-02,2010,11,2,0.0,0.0
2010-11-03,2010,11,3,0.15,0.15
2010-11-04,2010,11,4,0.8999999999999999,0.6
2010-11-05,2010,11,5,0.3,0.3
2010-11-06,2010,11,6,0.3,0.0
2010-11-07,2010,11,7,0.0,0.0
2010-11-08,2010,11,8,0.0,0.0
2010-11-09,2010,11,9,0.0,0.0
2010-11-10,2010,11,10,0.0,0.0
2010-11-11,2010,11,11,0.0,0.0
2010-11-12,2010,11,12,0.0,0.0
2010-11-13,2010,11,13,0.55,0.55
2010-11-14,2010,11,14,0.3,0.0
2010-11-15,2010,11,15,0.0,0.0
2010-11-16,2010,11,16,13.450000000000001,8.05
2010-11-17,2010,11,17,3.85,1.75
2010-11-18,2010,11,18,5.1,2.2
2010-11-19,2010,11,19,0.0,0.0
2010-11-20,2010,11,20,0.0,0.0
2010-11-21,2010,11,21,0.0,0.0
2010-11-22,2010,11,22,18.75,12.7
2010-11-23,2010,11,23,5.95,0.0
2010-11-24,2010,11,24,0.3,0.3
2010-11-25,2010,11,25,13.4,6.7
2010-11-26,2010,11,26,0.1,0.0
2010-11-27,2010,11,27,0.35,0.0
2010-11-28,2010,11,28,0.0,0.0
2010-11-29,2010,11,29,6.7,6.7
2010-11-30,2010,11,30,18.9,6.7
2010-12-01,2010,12,1,1.0499999999999998,0.0
2010-12-02,2010,12,2,0.55,0.0
2010-12-03,2010,12,3,1.5499999999999998,0.0
2010-12-04,2010,12,4,0.3,0.0
2010-12-05,2010,12,5,18.1,0.0
2010-12-06,2010,12,6,24.5,0.0
2010-12-07,2010,12,7,9.85,0.0
2010-12-08,2010,12,8,2.9000000000000004,0.0
2010-12-09,2010,12,9,1.35,0.0
2010-12-10,2010,12,10,1.25,0.0
2010-12-11,2010,12,11,0.7,0.0
2010-12-12,2010,12,12,15.7,0.0
2010-12-13,2010,12,13,0.0,0.0
2010-12-14,2010,12,14,8.1,0.0
2010-12-15,2010,12,15,1.9,0.0
2010-12-16,2010,12,16,0.0,0.0
2010-12-17,2010,12,17,0.0,0.0
2010-12-18,2010,12,18,0.0,0.0
2010-12-19,2010,12,19,0.2,0.0
2010-12-20,2010,12,20,0.0,0.0
2010-12-21,2010,12,21,0.0,0.0
2010-12-22,2010,12,22,0.3,0.0
2010-12-23,2010,12,23,0.2,0.1
2010-12-24,2010,12,24,0.0,0.0
2010-12-25,2010,12,25,0.0,0.0
2010-12-26,2010,12,26,0.0,0.0
2010-12-27,2010,12,27,0.0,0.0
2010-12-28,2010,12,28,0.0,0.0
2010-12-29,2010,12,29,0.0,0.0
2010-12-30,2010,12,30,0.35,0.0
2010-12-31,2010,12,31,4.65,3.85
2011-01-01,2011,1,1,14.6,6.25
2011-01-02,2011,1,2,0.0,0.0
2011-01-03,2011,1,3,1.1,0.0
2011-01-04,2011,1,4,3.45,0.0
2011-01-05,2011,1,5,0.3,0.0
2011-01-06,2011,1,6,2.8499999999999996,0.0
2011-01-07,2011,1,7,0.0,0.0
2011-01-08,2011,1,8,2.2,0.0
2011-01-09,2011,1,9,1.75,0.0
2011-01-10,2011,1,10,0.0,0.0
2011-01-11,2011,1,11,4.95,0.0
2011-01-12,2011,1,12,1.7000000000000002,0.0
2011-01-13,2011,1,13,0.7,0.0
2011-01-14,2011,1,14,2.1999999999999997,0.0
2011-01-15,2011,1,15,4.35,0.0
2011-01-16,2011,1,16,0.35,0.0
2011-01-17,2011,1,17,0.0,0.0
2011-01-18,2011,1,18,2.75,1.5
2011-01-19,2011,1,19,0.2,0.0
2011-01-20,2011,1,20,2.75,0.0
2011-01-21,2011,1,21,0.85,0.0
2011-01-22,2011,1,22,0.8999999999999999,0.0
2011-01-23,2011,1,23,0.0,0.0
2011-01-24,2011,1,24,1.7,0.0
2011-01-25,2011,1,25,0.3,0.0
2011-01-26,2011,1,26,0.2,0.0
2011-01-27,2011,1,27,0.9,0.0
2011-01-28,2011,1,28,0.85,0.0
2011-01-29,2011,1,29,3.1,0.0
2011-01-30,2011,1,30,0.0,0.0
2011-01-31,2011,1,31,1.5,0.0
2011-02-01,2011,2,1,9.35,0.0
2011-02-02,2011,2,2,6.45,0.0
2011-02-03,2011,2,3,0.0,0.0
2011-02-04,2011,2,4,0.3,0.0
2011-02-05,2011,2,5,12.149999999999999,0.0
2011-02-06,2011,2,6,1.2000000000000002,0.0
2011-02-07,2011,2,7,0.3,0.0
2011-02-08,2011,2,8,0.85,0.0
2011-02-09,2011,2,9,0.35,0.0
2011-02-10,2011,2,10,0.85,0.0
2011-02-11,2011,2,11,1.6,0.0
2011-02-12,2011,2,12,3.45,0.0
2011-02-13,2011,2,13,1.9,0.0
2011-02-14,2011,2,14,0.0,0.0
2011-02-15,2011,2,15,0.0,0.0
2011-02-16,2011,2,16,0.35,0.35
2011-02-17,2011,2,17,0.35,0.0
2011-02-18,2011,2,18,0.0,0.0
2011-02-19,2011,2,19,0.0,0.0
2011-02-20,2011,2,20,10.05,0.0
2011-02-21,2011,2,21,2.3,0.0
2011-02-22,2011,2,22,0.0,0.0
2011-02-23,2011,2,23,1.65,0.0
2011-02-24,2011,2,24,1.8,0.0
2011-02-25,2011,2,25,1.95,0.0
2011-02-26,2011,2,26,4.3,0.0
2011-02-27,2011,2,27,9.0,8.7
2011-02-28,2011,2,28,9.25,0.25
2011-03-01,2011,3,1,0.0,0.0
2011-03-02,2011,3,2,0.2333333333333333,0.0
